
2024/11/05 (20:30:53) | ===> btop++ v.1.4.0
2024/11/05 (20:30:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/05 (20:34:21) | ===> btop++ v.1.4.0
2024/11/05 (20:34:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/01 (13:13:33) | ===> btop++ v.1.4.0
2024/12/01 (13:13:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/01 (13:13:39) | ERROR: Stall in Runner thread, restarting!

2025/08/20 (22:35:27) | ===> btop++ v.1.4.0
2025/08/20 (22:35:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/20 (22:48:02) | ===> btop++ v.1.4.0
2025/08/20 (22:48:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/08/21 (12:19:29) | ===> btop++ v.1.4.0
2025/08/21 (12:19:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/21 (12:20:35) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/08/29 (22:24:47) | ===> btop++ v.1.4.0
2025/08/29 (22:24:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/09/23 (21:39:54) | ===> btop++ v.1.4.0
2025/09/23 (21:39:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
